Period,CPI,IT_Exports,Position,Seniority,Global_exp,Local_exp,Salary,GDP
2017.12,157.6,1890.7,Business analyst,Middle,3,1.5,500.0,2604.28759765625
2017.12,157.6,1890.7,Business analyst,Senior,6,2,1800.0,2604.28759765625
2017.12,157.6,1890.7,Business analyst,Middle,5,5,2250.0,2604.28759765625
2017.12,157.6,1890.7,Business analyst,Lead,9,3,2400.0,2604.28759765625
2017.12,157.6,1890.7,Business analyst,Middle,2,6,2850.0,2604.28759765625
2017.12,157.6,1890.7,Business analyst,Junior,1.5,1.5,1800.0,2604.28759765625
2017.12,157.6,1890.7,Business analyst,Middle,2,меньше 3 месяцев,2700.0,2604.28759765625
2017.12,157.6,1890.7,Business analyst,Middle,3,0.25,1800.0,2604.28759765625
2017.12,157.6,1890.7,Business analyst,Middle,5,2,1500.0,2604.28759765625
2017.12,157.6,1890.7,Business analyst,Junior,0.5,0.5,800.0,2604.28759765625
2017.12,157.6,1890.7,Business analyst,Middle,2,3,590.0,2604.28759765625
2017.12,157.6,1890.7,Business analyst,Lead,8,1.5,2800.0,2604.28759765625
2017.12,157.6,1890.7,Business analyst,Junior,0.5,0.5,350.0,2604.28759765625
2017.12,157.6,1890.7,Business analyst,Middle,5,меньше 3 месяцев,3200.0,2604.28759765625
2017.12,157.6,1890.7,Business analyst,Senior,6,6,2000.0,2604.28759765625
2017.12,157.6,1890.7,Business analyst,Senior,7,0.5,2000.0,2604.28759765625
2017.12,157.6,1890.7,Business analyst,Junior,меньше 3 месяцев,2,2500.0,2604.28759765625
2017.12,157.6,1890.7,Business analyst,Middle,3,3,1900.0,2604.28759765625
2017.12,157.6,1890.7,Business analyst,Middle,3,3,1000.0,2604.28759765625
2017.12,157.6,1890.7,Business analyst,Middle,2,0.5,700.0,2604.28759765625
2017.12,157.6,1890.7,Business analyst,Middle,2,меньше 3 месяцев,725.0,2604.28759765625
2017.12,157.6,1890.7,Business analyst,Middle,2,1.5,1600.0,2604.28759765625
2017.12,157.6,1890.7,Business analyst,Lead,10 и более лет,0.25,1000.0,2604.28759765625
2017.12,157.6,1890.7,Business analyst,Middle,3,1,3500.0,2604.28759765625
2017.12,157.6,1890.7,Business analyst,Middle,5,2,1200.0,2604.28759765625
2017.12,157.6,1890.7,Business analyst,Senior,6,0.5,3000.0,2604.28759765625
2017.12,157.6,1890.7,Business analyst,Middle,2,2,770.0,2604.28759765625
2017.12,157.6,1890.7,Business analyst,Middle,2,1.5,2000.0,2604.28759765625
2017.12,157.6,1890.7,Business analyst,Middle,3,5,2280.0,2604.28759765625
2017.12,157.6,1890.7,Business analyst,Middle,2,2,1707.0,2604.28759765625
2017.12,157.6,1890.7,Business analyst,Junior,0.25,0.25,500.0,2604.28759765625
2017.12,157.6,1890.7,Business analyst,Middle,3,3,2300.0,2604.28759765625
2017.12,157.6,1890.7,Business analyst,Middle,5,1.5,2700.0,2604.28759765625
2017.12,157.6,1890.7,Business analyst,Junior,1,1,570.0,2604.28759765625
2017.12,157.6,1890.7,Business analyst,Junior,0.25,0.25,600.0,2604.28759765625
2017.12,157.6,1890.7,Business analyst,Middle,5,0.5,2000.0,2604.28759765625
2017.12,157.6,1890.7,Business analyst,Junior,1,1,430.0,2604.28759765625
2017.12,157.6,1890.7,Business analyst,Junior,1,1,600.0,2604.28759765625
2017.12,157.6,1890.7,Business analyst,Middle,4,1,900.0,2604.28759765625
2017.12,157.6,1890.7,Business analyst,Middle,4,1,2400.0,2604.28759765625
2017.12,157.6,1890.7,Business analyst,Senior,7,1,3500.0,2604.28759765625
2017.12,157.6,1890.7,Business analyst,Middle,2,2,500.0,2604.28759765625
2017.12,157.6,1890.7,Business analyst,Senior,7,4,3700.0,2604.28759765625
2017.12,157.6,1890.7,Business analyst,Middle,5,8,800.0,2604.28759765625
2017.12,157.6,1890.7,Business analyst,Lead,10 и более лет,10 и более лет,2500.0,2604.28759765625
2017.12,157.6,1890.7,Business analyst,Middle,5,2,2000.0,2604.28759765625
2017.12,157.6,1890.7,Business analyst,Middle,3,8,2400.0,2604.28759765625
2017.12,157.6,1890.7,Business analyst,Middle,2,2,1000.0,2604.28759765625
2017.12,157.6,1890.7,Business analyst,Middle,5,2,2500.0,2604.28759765625
2017.12,157.6,1890.7,Business analyst,Middle,5,1,2300.0,2604.28759765625
2017.12,157.6,1890.7,Business analyst,Junior,1,1,1500.0,2604.28759765625
2017.12,157.6,1890.7,Business analyst,Junior,меньше 3 месяцев,меньше 3 месяцев,2500.0,2604.28759765625
2017.12,157.6,1890.7,Business analyst,Middle,2,0.25,1400.0,2604.28759765625
2017.12,157.6,1890.7,Business analyst,Junior,0.5,0.5,762.0,2604.28759765625
2017.12,157.6,1890.7,Business analyst,Junior,1,1,1000.0,2604.28759765625
2017.12,157.6,1890.7,Business analyst,Junior,1.5,1.5,1120.0,2604.28759765625
2017.12,157.6,1890.7,Business analyst,Middle,3,0.25,1000.0,2604.28759765625
2018.06,160.8,2150.4,Business analyst,Middle,2,1,1450.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Junior,1,0.5,840.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Middle,2,2,1100.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Junior,1.5,0.5,1200.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Junior,1.5,4,2750.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Middle,2,2,1500.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Lead,10 и более лет,3,2450.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Lead,10 и более лет,1.5,1150.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Lead,8,3,2300.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Middle,3,3,1000.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Middle,3,1,2200.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Senior,7,2,3700.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Middle,5,2,1800.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Middle,4,меньше 3 месяцев,2000.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Junior,1.5,0.5,550.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Junior,1.5,0.5,1300.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Middle,3,меньше 3 месяцев,2500.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Middle,4,меньше 3 месяцев,2400.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Middle,3,3,2850.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Middle,3,1,1500.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Middle,5,2,4200.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Junior,1.5,0.25,800.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Middle,4,меньше 3 месяцев,1400.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Senior,6,0.25,3200.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Junior,1.5,1.5,700.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Middle,2,меньше 3 месяцев,1200.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Middle,4,1.5,1500.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Senior,7,2,3235.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Middle,2,0.5,1250.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Lead,10 и более лет,2,5170.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Senior,6,1,2600.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Middle,4,0.5,2100.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Lead,10 и более лет,1,3230.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Junior,0.5,1,1100.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Middle,3,1,2600.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Junior,1.5,2,1300.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Middle,5,5,1700.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Middle,2,2,2000.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Junior,1.5,1,1100.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Junior,1.5,1.5,1180.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Junior,0.5,0.25,824.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Middle,2,меньше 3 месяцев,1600.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Junior,1,1,2200.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Middle,4,3,2650.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Middle,2,0.5,1100.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Middle,4,4,1100.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Junior,1,1,2000.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Middle,5,0.5,3300.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Middle,3,0.25,800.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Middle,3,2,1800.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Middle,5,0.5,2200.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Junior,1,3,550.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Junior,1,0.5,1200.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Middle,5,0.25,3000.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Middle,4,меньше 3 месяцев,2000.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Middle,2,0.5,1100.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Middle,5,4,1400.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Junior,0.5,0.5,576.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Middle,4,3,3500.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Middle,5,1,1600.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Junior,1.5,1.5,900.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Junior,1,меньше 3 месяцев,2300.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Middle,5,3,600.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Middle,3,2,3500.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Lead,10 и более лет,0.5,1100.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Junior,1,1,750.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Middle,3,3,2100.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Senior,7,3,2600.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Senior,7,2,3200.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Lead,10 и более лет,4,800.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Junior,0.5,меньше 3 месяцев,500.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Junior,1,меньше 3 месяцев,300.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Senior,7,3,2100.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Lead,9,0.5,3500.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Senior,7,3,2600.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Middle,3,1.5,2000.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Middle,4,1,1300.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Middle,3,3,1000.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Junior,1,1,400.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Junior,1,0.25,2700.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Junior,0.5,0.5,2000.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Middle,2,2,2400.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Middle,3,0.25,2500.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Junior,0.5,0.5,950.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Lead,10 и более лет,0.5,2000.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Middle,4,1,4000.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Junior,1.5,0.5,1400.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Junior,1.5,1.5,900.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Middle,5,1,1700.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Lead,9,0.5,2800.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Middle,4,1.5,2300.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Middle,2,2,200.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Lead,10 и более лет,4,2500.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Senior,7,1.5,3100.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Lead,10 и более лет,5,3450.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Middle,4,4,1000.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Lead,10 и более лет,0.5,3040.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Middle,2,2,1000.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Lead,10 и более лет,5,2100.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Junior,1,0.5,400.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Middle,5,5,1700.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Middle,2,2,1500.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Middle,5,1,250.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Middle,4,1,2000.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Lead,10 и более лет,4,2565.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Middle,5,1.5,1150.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Junior,меньше 3 месяцев,меньше 3 месяцев,300.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Senior,7,1.5,3000.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Junior,1,1,1000.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Lead,10 и более лет,меньше 3 месяцев,2000.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Lead,10 и более лет,0.5,4500.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Middle,2,1.5,200.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Middle,5,0.25,2000.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Middle,5,3,2316.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Lead,10 и более лет,1.5,5500.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Junior,0.25,0.25,842.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Senior,6,0.5,900.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Senior,7,1,2500.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Senior,7,1,3000.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Junior,0.5,0.5,1600.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Junior,1,1,560.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Middle,2,2,2375.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Senior,6,3,3300.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Middle,5,меньше 3 месяцев,3200.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Middle,5,5,1300.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Junior,1.5,2,500.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Junior,0.5,0.5,550.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Junior,1,0.5,700.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Junior,1,1,384.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Junior,1,1,1200.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Middle,5,1,2000.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Junior,1,0.5,400.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Middle,5,0.5,2340.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Middle,2,2,1100.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Junior,0.5,0.5,450.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Middle,5,5,3300.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Junior,1,1,400.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Senior,6,3,2500.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Middle,5,1,2000.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Junior,0.5,0.5,1300.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Junior,1,0.5,800.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Middle,4,1.5,1200.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Middle,2,1,777.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Middle,5,меньше 3 месяцев,2850.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Middle,3,1,2000.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Junior,1.5,1.5,800.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Lead,10 и более лет,0.25,2800.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Middle,5,меньше 3 месяцев,3500.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Junior,1.5,0.5,900.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Middle,2,1,750.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Middle,5,1,1400.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Lead,10 и более лет,7,1300.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Middle,5,0.5,5000.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Junior,1.5,1.5,1000.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Middle,3,0.5,2850.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Lead,10 и более лет,1.5,4200.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Middle,2,3,990.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Middle,2,0.5,650.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Junior,0.5,0.5,1000.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Middle,3,меньше 3 месяцев,3000.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Lead,10 и более лет,1.5,3000.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Lead,10 и более лет,10 и более лет,5000.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Junior,1,1,900.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Senior,6,3,2700.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Middle,3,0.5,800.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Middle,3,3,1100.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Junior,меньше 3 месяцев,меньше 3 месяцев,2000.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Lead,10 и более лет,10 и более лет,2800.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Middle,5,4,3150.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Lead,10 и более лет,0.25,945.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Middle,4,4,1153.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Lead,10 и более лет,0.5,2500.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Middle,4,0.5,3100.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Middle,2,2,2000.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Middle,3,2,2000.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Middle,5,1.5,1721.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Middle,2,меньше 3 месяцев,1600.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Middle,5,0.5,3400.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Junior,0.5,1,2000.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Lead,8,1,2000.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Middle,3,меньше 3 месяцев,1400.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Middle,2,1,1500.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Middle,2,2,650.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Senior,6,2,1200.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Lead,10 и более лет,0.5,900.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Lead,10 и более лет,0.5,400.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Junior,0.25,меньше 3 месяцев,350.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Junior,меньше 3 месяцев,меньше 3 месяцев,600.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Middle,3,3,2500.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Junior,1,0.25,450.0,3059.0517578125
2018.06,160.8,2150.4,Business analyst,Middle,5,3,2550.0,3059.0517578125
2018.12,163.9,2380.9,Business analyst,Senior,7,7,1000.0,3059.0517578125
2018.12,163.9,2380.9,Business analyst,Lead,8,8,1900.0,3059.0517578125
2018.12,163.9,2380.9,Business analyst,Middle,5,4,1400.0,3059.0517578125
2018.12,163.9,2380.9,Business analyst,Middle,3,1,1450.0,3059.0517578125
2018.12,163.9,2380.9,Business analyst,Middle,3,2,1630.0,3059.0517578125
2018.12,163.9,2380.9,Business analyst,Middle,2,0.5,1700.0,3059.0517578125
2018.12,163.9,2380.9,Business analyst,Junior,1.5,1,1000.0,3059.0517578125
2018.12,163.9,2380.9,Business analyst,Junior,1.5,0.5,1400.0,3059.0517578125
2018.12,163.9,2380.9,Business analyst,Junior,1,0.5,540.0,3059.0517578125
2018.12,163.9,2380.9,Business analyst,Middle,3,3,1500.0,3059.0517578125
2018.12,163.9,2380.9,Business analyst,Middle,3,0.5,1500.0,3059.0517578125
2018.12,163.9,2380.9,Business analyst,Middle,4,1,2500.0,3059.0517578125
2018.12,163.9,2380.9,Business analyst,Middle,5,5,2200.0,3059.0517578125
2018.12,163.9,2380.9,Business analyst,Lead,10 и более лет,3,5170.0,3059.0517578125
2018.12,163.9,2380.9,Business analyst,Middle,4,0.25,2250.0,3059.0517578125
2018.12,163.9,2380.9,Business analyst,Middle,2,2,3500.0,3059.0517578125
2018.12,163.9,2380.9,Business analyst,Junior,0.5,0.5,400.0,3059.0517578125
2018.12,163.9,2380.9,Business analyst,Middle,4,1.5,1600.0,3059.0517578125
2018.12,163.9,2380.9,Business analyst,Lead,10 и более лет,2,1300.0,3059.0517578125
2018.12,163.9,2380.9,Business analyst,Middle,3,3,1394.0,3059.0517578125
2018.12,163.9,2380.9,Business analyst,Senior,7,3,3500.0,3059.0517578125
2018.12,163.9,2380.9,Business analyst,Middle,4,1,2200.0,3059.0517578125
2018.12,163.9,2380.9,Business analyst,Middle,4,8,3000.0,3059.0517578125
2018.12,163.9,2380.9,Business analyst,Junior,1,меньше 3 месяцев,600.0,3059.0517578125
2018.12,163.9,2380.9,Business analyst,Junior,0.5,0.25,450.0,3059.0517578125
2018.12,163.9,2380.9,Business analyst,Middle,2,0.5,1900.0,3059.0517578125
2018.12,163.9,2380.9,Business analyst,Lead,8,0.5,3500.0,3059.0517578125
2018.12,163.9,2380.9,Business analyst,Junior,1.5,1.5,600.0,3059.0517578125
2018.12,163.9,2380.9,Business analyst,Junior,0.5,1,500.0,3059.0517578125
2018.12,163.9,2380.9,Business analyst,Middle,2,2,1000.0,3059.0517578125
2018.12,163.9,2380.9,Business analyst,Middle,3,меньше 3 месяцев,2800.0,3059.0517578125
2018.12,163.9,2380.9,Business analyst,Middle,2,0.25,1200.0,3059.0517578125
2018.12,163.9,2380.9,Business analyst,Junior,1,1,400.0,3059.0517578125
2018.12,163.9,2380.9,Business analyst,Junior,0.5,0.5,255.0,3059.0517578125
2018.12,163.9,2380.9,Business analyst,Junior,0.5,0.5,600.0,3059.0517578125
2018.12,163.9,2380.9,Business analyst,Senior,7,4,2500.0,3059.0517578125
2018.12,163.9,2380.9,Business analyst,Junior,1,1,1600.0,3059.0517578125
2018.12,163.9,2380.9,Business analyst,Junior,1,7,2500.0,3059.0517578125
2018.12,163.9,2380.9,Business analyst,Junior,1,1,950.0,3059.0517578125
2018.12,163.9,2380.9,Business analyst,Middle,3,5,2540.0,3059.0517578125
2018.12,163.9,2380.9,Business analyst,Junior,1,1,1800.0,3059.0517578125
2018.12,163.9,2380.9,Business analyst,Lead,10 и более лет,1,2800.0,3059.0517578125
2018.12,163.9,2380.9,Business analyst,Middle,5,1,3000.0,3059.0517578125
2018.12,163.9,2380.9,Business analyst,Junior,1.5,3,1500.0,3059.0517578125
2018.12,163.9,2380.9,Business analyst,Middle,3,0.25,2000.0,3059.0517578125
2018.12,163.9,2380.9,Business analyst,Junior,1.5,1.5,1000.0,3059.0517578125
2018.12,163.9,2380.9,Business analyst,Junior,0.5,0.5,785.0,3059.0517578125
2018.12,163.9,2380.9,Business analyst,Senior,6,4,2700.0,3059.0517578125
2018.12,163.9,2380.9,Business analyst,Middle,2,2,2000.0,3059.0517578125
2018.12,163.9,2380.9,Business analyst,Junior,1,2,2000.0,3059.0517578125
2018.12,163.9,2380.9,Business analyst,Junior,1,1,1000.0,3059.0517578125
2018.12,163.9,2380.9,Business analyst,Middle,2,6,3040.0,3059.0517578125
2018.12,163.9,2380.9,Business analyst,Senior,7,3,2000.0,3059.0517578125
2018.12,163.9,2380.9,Business analyst,Middle,4,2,3700.0,3059.0517578125
2018.12,163.9,2380.9,Business analyst,Lead,10 и более лет,1,3000.0,3059.0517578125
2018.12,163.9,2380.9,Business analyst,Junior,1,3,1870.0,3059.0517578125
2018.12,163.9,2380.9,Business analyst,Senior,7,3,600.0,3059.0517578125
2018.12,163.9,2380.9,Business analyst,Middle,5,1.5,2000.0,3059.0517578125
2018.12,163.9,2380.9,Business analyst,Middle,5,1,2200.0,3059.0517578125
2018.12,163.9,2380.9,Business analyst,Middle,2,2,2100.0,3059.0517578125
2018.12,163.9,2380.9,Business analyst,Middle,5,0.5,4000.0,3059.0517578125
2018.12,163.9,2380.9,Business analyst,Senior,7,1.5,3200.0,3059.0517578125
2018.12,163.9,2380.9,Business analyst,Middle,2,меньше 3 месяцев,2000.0,3059.0517578125
2018.12,163.9,2380.9,Business analyst,Junior,0.5,0.5,700.0,3059.0517578125
2018.12,163.9,2380.9,Business analyst,Senior,7,0.5,2300.0,3059.0517578125
2018.12,163.9,2380.9,Business analyst,Middle,3,3,2500.0,3059.0517578125
2018.12,163.9,2380.9,Business analyst,Lead,8,0.5,1500.0,3059.0517578125
2018.12,163.9,2380.9,Business analyst,Senior,6,1,855.0,3059.0517578125
2018.12,163.9,2380.9,Business analyst,Junior,1,1,500.0,3059.0517578125
2018.12,163.9,2380.9,Business analyst,Junior,1.5,0.25,2500.0,3059.0517578125
2018.12,163.9,2380.9,Business analyst,Middle,2,2,1100.0,3059.0517578125
2018.12,163.9,2380.9,Business analyst,Junior,1,1,1000.0,3059.0517578125
2018.12,163.9,2380.9,Business analyst,Junior,меньше 3 месяцев,0.25,350.0,3059.0517578125
2018.12,163.9,2380.9,Business analyst,Lead,8,5,1220.0,3059.0517578125
